,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018,3/29/2019,6/28/2019,9/30/2019,12/31/2019
REZI UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.8,4.833,4.8,4.8,3.25
RF UN Equity,3.367,3.241,3.276,3.241,3.31,3.483,3.467,3.724,3.828,3.69,3.759,3.786
RFL UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2.5,2.5,2.5,2.5,4,4,4,4
RGA UN Equity,3,3,3,3.25,3.222,3.222,3.444,3.667,3.667,3.667,3.667,3.667
RGCO UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,3,5,3,3,3,3,4,4,5
RGEN UW Equity,4.5,4.2,4.333,4.778,4.778,4.778,4.6,4.556,4.5,4.429,4.75,4.8
RGLD UW Equity,4.538,4.385,4.091,4,4.333,4.385,4.385,4.143,4,3.462,2.846,2.538
RGNX UW Equity,5,5,5,5,4.429,4.429,4.333,3.857,4.143,4.333,4.667,4.667
RGR UN Equity,3,3,5,5,5,5,5,5,5,5,5,5
RGS UN Equity,3,3,5,4,4,5,5,5,5,5,5,5
RH UN Equity,3.381,3.545,3.286,3.348,3.609,3.522,3.5,3.87,3.727,3.667,3.8,3.727
RHI UN Equity,3.429,3.429,3.462,3.154,3.308,3.364,3,3,2.692,2.733,2.538,2.6
RHP UN Equity,3.333,3.333,3.111,3.25,3.75,4,4,4,4.429,4.429,4.143,4.143
RICK UQ Equity,5,5,5,5,5,5,5,5,5,5,5,5
RIG UN Equity,2.459,2.75,3.243,3.378,3.529,3.438,3.6,3.906,4.147,4.147,4.094,3.879
RIGL UW Equity,5,5,5,5,5,5,5,5,5,5,5,5
RILY UQ Equity,#N/A N/A,,,,,,,,,,,
RJF UN Equity,3.6,3.5,3.75,3.444,3.667,3.889,4.222,4,4.3,4.1,4.1,4
RL UN Equity,2.9,3,3,2.9,3.1,3,3,3.273,3.667,3.9,3.947,3.842
RLGT UA Equity,5,5,5,5,5,5,5,5,5,5,5,5
RLGY UN Equity,4.077,4.167,4.167,3.833,3.8,3.286,3,2.714,2.5,2.25,2.5,2.5
RLH UN Equity,5,5,5,5,5,5,5,5,5,5,5,3
RLI UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3,3,3,2.667,2.667,3,3
RLJ UN Equity,3,3.444,3.6,3.667,3.667,4.091,4,4,4,4.167,4,4
RM UN Equity,3.4,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.714,4,4,4
RMAX UN Equity,3.222,3,3.182,3,3,3,3.5,3.75,3.667,3.444,3.778,3.429
RMBI UR Equity,#N/A N/A,,,,,,,,,,,
RMBS UW Equity,4.714,4.714,4.333,4.2,4.6,4.333,4.333,4.333,4.2,4.333,4.333,4.333
RMD UN Equity,3.133,3,2.833,2.818,3.182,3.364,3.5,3.833,3.667,3.833,3.8,3.6
RMNI UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,4.333,4.5,4.5,4.5,4.5
RMR UR Equity,3.667,3.8,3.5,3.5,3,3,3,3.667,3.667,4.333,3.4,3.25
RMTI UQ Equity,2,2,3,3,3,5,5,5,5,5,5,5
RNET UW Equity,4.2,4,3.667,3.667,3.667,4,4,4,4,4,4,5
RNG UN Equity,4.636,4.857,4.571,4.429,4.385,4.385,4.5,4.647,4.579,4.6,4.667,4.789
RNR UN Equity,3,3,3,3.182,3.182,3.167,3.167,3.5,3.167,3.182,3,3
RNST UW Equity,3.25,3.25,3.25,3.286,3.571,3.667,3.333,3.333,3.333,3.286,3.25,3
ROAD UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,5,5
ROCK UW Equity,4.75,4.667,4.667,4.667,4,4,4,3.25,3.6,3.6,3.6,3.6
ROG UN Equity,4.4,4.75,4.8,4.75,4.667,4.667,4.75,4.75,4.667,4.667,4.667,4.667
ROIC UW Equity,3.933,3.857,3.769,3.833,3.833,3.667,3.462,3.462,3.462,3.462,3.615,3.769
ROK UN Equity,3.091,3.19,3.1,3.238,3.318,3.13,2.864,3.083,3,3,2.917,2.84
ROKU UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,3.333,3.333,3.8,4.167,4.429,4,3.688,3.813,4.056
ROL UN Equity,3.5,3.5,3.5,3.667,5,4.2,4,4,4.2,3.667,3,3.4
ROLL UW Equity,3.8,3.8,3.8,4.143,4.143,4.143,4.143,3.857,3.857,3.857,3.857,3.571
ROP UN Equity,4.294,4.25,4.333,4.375,4.375,4.333,4.143,4,4.067,4.2,4.2,4.2
ROSE UR Equity,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,5,5,5,5
ROST UW Equity,4.1,4.036,4.25,4.25,4.4,4.308,4.103,4.185,4.154,4.04,3.96,3.963
RP UW Equity,4.625,4.625,4.625,4.375,4.625,4.667,4.625,4.875,4.625,4.571,4.7,4.222
RPAI UN Equity,4,4,4,4.5,4.5,4.143,4.429,4.429,4.429,4.429,4.25,4.25
RPD UQ Equity,4.6,4.5,4.583,4.615,4.643,4.438,4.438,4.467,4.75,4.882,4.875,4.889
RPM UN Equity,3.769,3.923,4,4,4,4,3.75,3.643,3.5,3.643,3.692,4
