,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018,3/29/2019,6/28/2019,9/30/2019,12/31/2019
CVLT UW Equity,4.417,4.583,4.583,4.545,4.545,4.545,4.583,4.273,4.273,4,4.143,4
CVLY UQ Equity,#N/A N/A,,,,,,,,,,,
CVM UA Equity,#N/A N/A,#N/A N/A,#N/A N/A,3,3,3,3,3,3,3,3,3
CVNA UN Equity,#N/A N/A,4.7,4.25,3.929,3.846,4.25,4.154,4.214,3.938,3.882,3.81,3.85
CVS UN Equity,4.44,4.407,4.231,4.385,4.462,4.44,4.52,4.615,4.5,4.31,4.333,4.379
CVTI UW Equity,3.4,3.4,3.8,3.4,4,4.2,4.2,3.8,3.8,4.2,4.2,3.5
CVX UN Equity,4.357,4.267,4.267,4.172,4.429,4.44,4.407,4.407,4.407,4.407,4.448,4.379
CW UN Equity,3.75,4,3.75,4,4.25,4.25,4.333,4.5,4.25,4.25,4.25,4.333
CWCO UW Equity,5,5,5,5,5,5,5,5,5,5,5,5
CWEN UN Equity,3.5,3.8,3.8,4,4.333,4.333,4.25,4,3.222,3.5,3.571,3.333
CWEN/A UN Equity,4.091,4.091,3.909,3.6,3.889,3.571,3.5,3.5,3,3,3.4,3.333
CWH UN Equity,3.857,4.75,5,5,5,5,5,5,4.167,3.857,3.462,3.462
CWK UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.7,4.7,4.667,4.625,4.444,4.3
CWST UW Equity,4.333,4.667,4.667,4.2,4.2,4,4,4.5,3.8,4.2,4.2,4.2
CWT UN Equity,2.5,2.5,2.5,2.667,2.429,2.5,2.667,3,2.667,3,3,3
CXO UN Equity,4.571,4.5,4.567,4.516,4.469,4.344,4.355,4.6,4.737,4.73,4.514,4.485
CXP UN Equity,4,3.857,3.667,3.833,3.833,4.167,4.167,4.167,4.167,4,4,3.5
CXW UN Equity,4.5,4.5,4.333,4.333,4.333,4,4,4,4,4,3,3
CY UW Equity,3.857,4.2,4.2,3.938,3.938,3.938,3.813,3.882,3.882,3.167,3.182,3
CYCN UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,3,4,4
CYH UN Equity,2.75,2.619,2.647,2.444,2.3,2.263,2.158,2,1.941,1.941,1.933,1.933
CYRX UR Equity,#N/A N/A,5,5,5,5,5,5,5,5,5,5,5
CYTK UW Equity,4.857,4.857,4.857,4.625,4.625,4.833,4.5,4.5,4.5,4.5,4.5,4.5
CZNC UR Equity,3,3,3,3,3,3,3,3,3,3,3,3
CZR UW Equity,3,5,5,4.5,4.571,4.625,4.417,4.667,4.385,3.444,3.444,3.444
D UN Equity,3.75,3.727,3.7,3.737,3.706,3.667,3.625,3.875,3.556,3.5,3.7,3.632
DAKT UW Equity,4,3,3,3,3,3,3,3,3,3,3,3
DAL UN Equity,4.647,4.667,4.895,4.895,5,5,4.778,4.857,4.5,4.409,4.381,4.19
DAN UN Equity,3.727,3.667,3.417,3.417,3.667,3.444,3.75,4.091,4.4,4.273,4.6,4.6
DAR UN Equity,5,5,5,4.75,4.25,4.25,4.25,4.5,4.5,4.429,4.5,4.5
DBD UN Equity,4.429,4.5,4.25,4.143,4.143,3.4,2.6,2.5,3,3,3.4,3.8
DBI UN Equity,3.118,3.188,3.533,3.538,3.538,3.462,3.417,3.545,3.6,3.667,3.875,3.625
DBX UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,3.667,3.875,4,4.118,4.267,4,4.133
DCI UN Equity,2.8,3,3.222,3.222,3.667,3.5,3.5,3.5,3.5,3.571,3.25,3.25
DCO UN Equity,4.2,4.5,4.5,4.5,4.5,4.5,5,4.6,5,3.8,4.2,4.2
DCOM UW Equity,3.4,3.8,3.8,3.4,3.4,3.4,3,3,2.6,3,3,3.5
DCPH UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,4.75,4.8,4.5,4.417,4.583,4.545,4.545,4.636,4.75
DD UN Equity,#N/A N/A,#N/A N/A,4.423,4.464,4.5,4.567,4.519,4.552,4.133,4.161,4.226,4.407
DDD UN Equity,2.882,2.75,3,2.647,2.571,2.571,2.385,2.333,2.455,3,2.818,2.8
DDS UN Equity,2,1.8,1.8,1.8,1.8,2.5,3,1.8,1.8,1.4,1.8,1.8
DE UN Equity,3.32,3.64,3.64,3.846,4.077,4.28,4.28,4.478,4.25,4.167,4.083,3.917
DEA UN Equity,3.8,3.8,3.8,3.8,3.8,3.8,3.8,4.333,4.667,5,4.667,4.667
DECK UN Equity,3.75,3.571,3.571,3.643,3.357,3.333,3.267,3.333,3.333,3.583,3.583,4.182
DEI UN Equity,3.118,3.118,3.235,3.222,3.222,3.333,3.333,3.421,3.667,3.737,3.778,3.778
DELL UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,4.273,4.286,4.176,4.222
DENN UR Equity,4.667,4.6,4.6,4.6,5,4.5,4,4.6,4.5,4,4,4.25
DFIN UN Equity,4.333,4,3.667,3.5,3.6,3.833,3.167,3.167,2.833,3.2,3.2,3.5
DFS UN Equity,4.3,4.207,4.208,4.346,4.179,4.296,4.269,4.4,4.227,4.08,4.042,3.958
DG UN Equity,3.677,3.871,3.833,3.906,4.129,4.097,4.133,4.143,4.267,4.333,4.241,4.214
DGICA UW Equity,3,3,3,5,5,4,4,4,4,4,4,4
DGII UW Equity,4.2,5,5,5,5,5,5,5,5,5,5,4.75
DGX UN Equity,3.348,3.417,3.4,3.286,3.545,3.947,4.053,4,3.667,3.545,3.6,3.737
DHC UW Equity,3,2.818,2.818,2.818,2.818,2.8,2.8,2.75,2.75,3,3,2.75
DHI UN Equity,3.952,4,4,3.87,4.043,3.909,4.048,4.263,4.048,3.85,4,3.714
DHIL UW Equity,#N/A N/A,,,,,,,,,,,
DHR UN Equity,4.5,4.4,4.263,4.3,4.391,4.455,4.5,4.6,4.875,4.579,4.368,4.364
DHT UN Equity,3.895,3.778,3.706,3.625,4.053,4.25,4.267,4.563,4.563,4.615,4.75,4.769
DHX UN Equity,3,3,3,3,3,2,2,3,3,3,3,3
DIN UN Equity,3.667,3.667,3.8,3.8,4.5,5,5,5,5,5,5,5
DIOD UW Equity,4.5,4.333,4,4,4.5,4.5,5,5,4,3,3.667,3.5
DIS UN Equity,4.118,3.97,4.091,3.786,4,3.857,3.846,4.154,4.071,4.273,4.394,4.371
DISCA UW Equity,2.724,2.793,3.154,3.24,3.583,3.929,3.828,3.897,3.889,3.8,3.923,3.889
DISCK UW Equity,3.667,3.667,4,4,3.667,3,3,3.667,3.667,3.5,3.5,3.5
DISH UW Equity,3.8,3.692,3.72,3.783,3.957,3.957,3.696,3.609,3.625,3.682,3.429,3.238
DJCO UR Equity,#N/A N/A,,,,,,,,,,,
DK UN Equity,3,3.333,3.667,4.286,4.714,4.857,4.867,4.6,4.067,3.8,3.625,3.4
DKS UN Equity,4.233,4.138,3.2,3.194,3.3,3.448,3.448,3.407,3.28,3.478,3.318,3.44
DLA UA Equity,5,5,5,5,5,5,5,5,3,3,5,5
DLB UN Equity,4.143,4.143,4.429,4.429,4.143,4.143,4.429,4.429,4.429,4.429,4.667,4.667
DLR UN Equity,3.889,3.778,3.667,3.778,4.333,4.263,4.043,4.217,4.167,4.167,3.917,4.143
DLTH UW Equity,4.333,4.333,4.143,3.667,3.8,4.2,3.8,3.4,3.4,3.4,3.5,3.5
DLTR UW Equity,3.808,4.111,4.154,4.143,4.357,4.393,4.222,4.259,4.286,4.241,4.143,3.885
DLX UN Equity,4.5,4.333,4.333,4.5,4.5,4.5,4.5,4,4,4,4,4
DMRC UW Equity,5,5,4.714,4.714,4.714,4.714,4.714,4.6,4.6,4,4.333,4.333
DNKN UW Equity,3.143,3.214,3.214,3.214,3.308,3.308,3.296,3.276,3.385,3.138,3.276,3.345
DNLI UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4,4,4,4.143,3.857,4,4.091,4.091
DNOW UN Equity,3.1,3.75,3.75,3.5,3.727,3.6,3.667,3.5,3.5,3.5,3.727,3.727
DNR UN Equity,2.533,2.533,2.818,2.833,3,2.8,2.889,2.727,2.8,2.8,2.8,2.8
DO UN Equity,2.667,2.781,2.839,2.594,2.387,2.233,2.296,2.37,2.793,2.806,2.655,2.5
DOC UN Equity,4.294,4.294,4.294,4.412,4.412,4.25,4.375,4.286,4.286,3.933,3.933,4.176
DOCU UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.125,4.125,3.9,4.364,4.3,4.583,4.5
DOMO UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.429,4.5,4.571,4.571,4.286,4.286
DOOR UN Equity,5,5,4.5,4.273,4.273,4.273,4.273,4.273,4.167,4.167,4.111,4.25
DORM UW Equity,3,3,3,3,3.5,3.5,3.5,3.5,3.4,3.4,3,3
DOV UN Equity,3.636,3.5,3.632,3.737,3.7,3.667,3.636,3.727,3.8,3.824,3.824,3.706
DOW UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4,4.12,3.778,3.731
DOX UW Equity,3.8,3.8,3.8,3.889,4.25,4.25,4.143,4.143,4.143,4.143,4.143,4.143
DPZ UN Equity,3.667,3.632,3.667,3.952,4.238,4.1,4.143,4.182,4.333,4.391,4.154,3.929
DRE UN Equity,3.889,3.8,3.625,3.588,3.588,3.706,3.706,3.889,4.294,4.368,4.444,4.176
DRH UN Equity,3.118,3.111,3.118,3.5,3.375,3.4,3.429,3,2.538,2.692,2.692,3
DRI UN Equity,3.593,3.538,3.64,3.667,3.815,4.154,4.04,4.077,4.12,4.071,3.966,3.839
DRNA UW Equity,4.333,4.333,4.2,4.2,4.143,4.143,4.5,4.75,5,5,5,5
DRQ UN Equity,3.133,3,3,3.133,3.308,3.364,3,3,3.333,3.5,3.5,3.308
DS UN Equity,4,4,4,4,3,3,3,3,5,5,5,4.5
DSKE UR Equity,5,5,5,5,5,5,5,4.667,5,5,4.667,4.5
DSPG UW Equity,5,4.429,4.667,5,5,5,5,5,5,5,5,5
DSSI UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4,4.833,4.857,4.857
DT UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.25,4.417
DTE UN Equity,3.706,3.8,3.857,3.5,3.615,3.429,3.5,3.267,3.125,3.235,3.353,3.75
DTIL UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5
DUK UN Equity,3,3.095,3.105,3.211,3.4,3.526,3.762,3.7,3.4,3.286,3.2,3.6
DVA UN Equity,3.4,3.4,3.286,3.769,4.077,3.727,4.2,4,4.333,4.333,3.923,3.429
DVAX UR Equity,4.2,4.2,5,5,4.667,5,5,5,5,5,5,5
DVN UN Equity,4.316,4.282,4.294,4.471,4.353,4.333,4.406,4.229,4.029,4.03,3.941,3.968
DX UN Equity,3.4,3,3,3.8,3.8,3.8,3.8,3.8,3.8,3.4,3.4,3.8
DXC UN Equity,4.6,4,4.15,4.19,4.25,4.15,4.15,4.286,4.25,4.353,3.875,3.8
DXCM UW Equity,4.529,4.625,4.222,4.222,4.111,3.952,4.2,4.238,4.238,4.3,4.368,4.474
DXPE UW Equity,4.333,4,4,4,4.333,4,4.333,4.333,4.333,4,3.5,3.667
DY UN Equity,4.556,4.556,4.8,4.8,4.8,4.778,4.2,4.4,4.6,4.6,4.6,4.6
DZSI UR Equity,5,5,5,5,5,5,5,5,5,5,5,5
EA UW Equity,4.5,4.417,4.538,4.517,4.533,4.6,4.6,4.533,4.294,4.314,4.371,4.314
EAF UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,4.333,4.333,3.667,4,3.667
EAT UN Equity,3,3,3,3,3,3.105,3,3,3.111,3.19,3.435,3.56
EB UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3.4,3.4,3.667,3.667,3.667
EBAY UW Equity,3.61,3.735,3.676,3.692,3.795,4,4.026,3.861,3.711,3.658,3.514,3.371
EBF UN Equity,#N/A N/A,3,3,3,3,3,4,4,4,4,4,4
EBIX UW Equity,5,5,5,5,5,5,4.333,4.333,4.333,4.333,4.333,4
EBS UN Equity,4.333,4.667,4.333,4.6,4.333,4.25,4.25,4.5,4.429,4.429,4.75,4.714
EBSB UW Equity,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.667,4
EBTC UW Equity,#N/A N/A,,,,,,,,,,,
ECHO UW Equity,4.5,4.75,4,3.846,3.818,3.917,3.917,4.214,4.308,4.385,3.923,3.769
ECL UN Equity,3.913,4.043,4,4,3.923,3.72,3.75,3.783,3.667,3.667,3.609,3.545
ECOL UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3.8
ECOM UN Equity,3.75,3.571,3.75,3.667,3.889,4.111,4.111,4.111,4.25,4.429,4.333,4.333
ECOR UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.75,4.75,4.75,4,4,3.8
ECPG UW Equity,4,4,4.125,4,4.125,4.125,4.375,4.125,4.444,4.444,4.444,4.375
ED UN Equity,2.5,2.294,2.125,2.375,2.333,2.294,2.222,2.444,2.222,2.368,2.444,2.444
EDIT UW Equity,4.167,4,3.875,3.875,3.778,3.778,3.889,4.111,4.333,4.2,4.2,4.2
EE UN Equity,3.4,3.4,3.333,3,3,2.333,2.333,2.5,3,2.333,2.333,2
EEFT UW Equity,4.714,5,5,4.75,4.75,4.5,4.556,4.8,4.818,4.636,4.667,5
EEX UN Equity,#N/A N/A,4.25,4.25,4.25,4.429,4.2,3.667,3,2.75,2.5,3,3
EFC UN Equity,4.6,4.5,4.5,4.571,4.286,4.286,4.286,4.286,4.571,4.571,4.571,4.571
EFSC UW Equity,3.8,3.8,3.8,3.8,3.8,3.8,3.8,4.6,4.6,4.6,4.667,4.6
EFX UN Equity,4.294,4.5,4.625,4.059,4.059,3.875,3.875,4.111,3.737,3.737,3.737,3.8
EGAN UR Equity,3.667,3.667,3,4.333,5,5,5,5,5,4.5,4.5,4.6
EGBN UR Equity,3.8,4.2,4.2,4.5,5,5,5,5,4.333,4.333,3.667,3.4
EGHT UN Equity,4.8,4.4,4.2,4.2,4.4,4.273,4.4,4.385,4.333,4.2,3.933,3.933
EGLE UW Equity,5,4.5,4.333,4.333,4.5,4.6,4.8,4.818,4.818,4.778,5,4.8
EGOV UW Equity,3.286,3.25,3.25,3.25,3.25,3.333,3,3,3.4,3.5,3.5,3.5
EGP UN Equity,2.75,2.857,3.143,3,3.154,3.308,3.308,3.333,3.286,3.267,3.286,3.286
EGRX UQ Equity,4,4,4,4,4,4.6,4.6,3.8,3.8,4,4,4
EHC UN Equity,3.75,3.692,3.917,4.154,4.357,4.462,4.615,4.563,4.563,4.688,4.706,4.563
EHTH UW Equity,4,4,4,4.2,4.2,4.2,4.333,4.429,4.5,4.556,4.6,4.636
EIDX UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.333,4.6,4.667,5,5,4.714
EIG UN Equity,3.667,4,3,3,3,3,3,3.5,3.5,4,4,4
EIGI UW Equity,3.25,3.286,2.714,2.714,2.714,2.714,2.667,2.333,2.667,3,3,3
EIGR UQ Equity,5,5,5,5,5,5,5,5,5,5,5,5
EIX UN Equity,3.857,3.737,3.889,3.75,3.667,3.889,3.737,3.842,3.737,4.059,4.125,4.067
EL UN Equity,4.308,4.385,4.643,4.5,4.517,4.429,4.533,4.5,4.31,4.185,4.231,4.12
ELAN UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3.5,3.833,3.867,3.867,3.929,4.417
ELF UN Equity,4.111,4.2,4.333,3.923,3.615,3.769,3,3,2.846,3.5,3.833,4.091
ELOX UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,4.6,4.6,4.6,4.667,4.667
ELS UN Equity,3.571,3.667,3.333,3.571,3.667,3.667,3.667,3.667,3.333,3.333,3.333,3.667
ELVT UN Equity,#N/A N/A,4.667,4.556,4.444,4.222,4.222,4.222,3.889,3.75,3.75,3.75,3.75
ELY UN Equity,4.8,4.6,4.455,4.333,4.5,4.455,4.455,4.455,4.385,4.333,4.667,4.667
EME UN Equity,3.571,4,4,4.2,4.2,4.2,4.2,4.2,4.2,4,4,4
EML UQ Equity,#N/A N/A,,,,,,,,,,,
EMN UN Equity,4.167,4.167,4.278,4.105,4.105,4.111,4.059,4.263,4.263,4.4,4.4,4.158
EMR UN Equity,3.08,3.125,3.13,3.318,3.727,3.87,3.917,3.923,3.923,4,4.04,3.778
ENDP UW Equity,3.727,3.476,3.455,3.435,3.478,3.3,3.556,3.588,3.533,3.25,2.857,2.857
ENOB UR Equity,#N/A N/A,,,,,,,,,,,
ENPH UQ Equity,3.25,3.5,3.857,3.857,4.429,4.5,4.75,4.75,4.25,4.2,4.455,4.5
ENR UN Equity,4.273,3.909,4.2,4.2,4,4,3.889,3.444,3.833,3.667,4.167,4.077
ENS UN Equity,3.5,3.5,3.5,4,4.2,4.2,4.5,5,5,5,5,5
ENSG UW Equity,4.125,3.875,4.286,4.286,4.286,4.286,4.286,4.167,4.167,3.5,3.714,3.857
ENTA UW Equity,3.667,3.667,4.25,4.25,3.25,3.833,3.5,3.429,3.429,3.875,3.625,3.5
ENTG UW Equity,4.75,4.5,4.2,4.273,4.636,4.6,5,5,4.714,4.6,4.636,4.455
ENV UN Equity,4.182,4.222,4.1,4.1,4.1,4.1,4.364,4.545,4.417,4.154,4.083,4.462
ENVA UN Equity,4.75,4.75,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
ENZ UN Equity,5,5,5,5,5,5,5,5,5,5,5,5
EOG UN Equity,4.143,4.286,4.243,4.158,4.189,4.222,4.278,4.459,4.5,4.658,4.703,4.611
EOLS UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.75,4.75,4.75,4.75,4.833,3.778,3.778,3.9
EPAC UN Equity,3,3.6,3.364,3.364,3.364,3.4,3.444,3.444,3.667,3.857,2.714,2.714
EPAM UN Equity,4.632,4.632,4.65,4.65,4.381,4.45,4.353,4.211,4.235,4.133,4.4,4.438
EPAY UW Equity,3.6,3.667,4.25,4.25,4.25,4.25,4.2,4,4,4,4.2,4.2
EPC UN Equity,3.4,3.533,3.571,3.4,3.267,3.154,3,3,3.143,3.167,3.333,3.364
EPM UA Equity,4,4,4,3.667,4.25,4.25,3.5,3.5,4,4,4.333,4.333
EPR UN Equity,3.545,3.8,4,3.727,3.2,3.2,3.182,3.545,3.545,3.364,3.364,3.545
EPRT UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.25,4.111,4,4.273,4.167,4.077
EPZM UW Equity,4.875,4.889,4.9,4.7,4.909,5,4.6,4.6,4.8,4.778,4.75,5
EQBK UW Equity,4.333,4.333,4.333,4.333,4.333,4.333,4.333,5,4.5,4.5,4.5,4.5
EQC UN Equity,3.75,3.75,3.75,3.75,4.25,4.25,3.75,3.75,3.75,3.75,3.5,3.5
EQH UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.385,4.385,4.385,4.333,4.231,4.231,4.231
EQIX UW Equity,4.381,4.48,4.458,4.6,4.739,4.833,4.769,4.84,4.778,4.704,4.714,4.704
EQR UN Equity,3,3.077,3,3.24,3.417,3.348,3.261,3.417,3.24,3.24,3.24,3
EQT UN Equity,4.182,4.053,4.2,4.2,4.368,4.647,4.368,4.238,4.2,4.091,4.143,4.158
ERA UN Equity,5,5,5,5,5,5,5,5,5,5,5,5
ERI UW Equity,4.5,4.5,4.6,4.6,4.75,4.75,4.75,4.778,4.778,4.778,4.556,4.455
ERIE UW Equity,4,5,5,5,5,5,5,5,5,5,5,5
ERII UW Equity,5,5,4.8,4.8,4.8,4.8,4.8,4.4,4.4,4.25,4.667,4.75
EROS UN Equity,4.6,4.6,5,5,5,5,5,5,5,5,5,5
ES UN Equity,3.571,3.824,3.75,3.625,3.222,3.706,3.778,3.737,3.632,3.7,3.842,3.632
ESCA UQ Equity,5,5,5,5,5,5,5,5,5,5,5,5
ESE UN Equity,3.5,4,4,4.25,4.25,4.25,4.667,4.667,4.5,4,3.5,3.5
ESGR UW Equity,#N/A N/A,,,,,,,,,,,
ESI UN Equity,4.083,4.083,4.25,4.25,4.25,4.308,4.1,4.1,3.7,3.778,3.778,3.875
ESNT UN Equity,3.5,3.778,4.1,4.25,4.462,4.417,4.417,4.417,4.462,4.417,4.417,4.417
ESPR UQ Equity,4,4.375,4.417,4.417,4.462,3.818,3.917,3.929,4.071,4.308,4.462,4.417
ESQ UR Equity,#N/A N/A,#N/A N/A,5,3,3,3,5,5,5,5,5,5
ESRT UN Equity,4.75,4.2,4.111,4.333,4.111,3.889,3.444,3.667,3.4,3.667,3.222,3.2
ESS UN Equity,3.815,3.692,3.64,3.769,3.88,3.917,4,4.077,3.923,3.769,3.8,3.833
ESSA UW Equity,3,3,3,3,3,3,3,3,3,3,3,4
ESTC UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.111,3.8,3.923,4,4.231
ESTE UN Equity,5,4.818,4.8,5,5,5,5,5,5,5,4.818,4.8
ESXB UR Equity,5,5,4.5,3.4,3.5,3.4,3.4,3.4,3.4,3,3,3
ETFC UW Equity,4.267,4.154,4.267,4.438,4.688,4.688,4.667,4.813,4.667,4.667,4.313,4.063
ETH UN Equity,3.75,3.857,3.857,4.143,3.857,3.857,3.857,3.857,3,3,3,3
ETM UN Equity,4.333,4.333,4.333,4.25,4.25,3.75,3.333,4.25,5,5,4.6,4.6
ETN UN Equity,3.72,3.75,3.522,3.261,3.696,4,4.13,4.154,4.12,4.04,3.923,3.88
ETNB UQ Equity,#N/A N/A,,,,,,,,,,,
ETR UN Equity,2.818,3,3.105,3.471,3.444,3.588,3.778,3.889,4.059,4.222,4.059,3.875
ETRN UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3.889,4,3.727,3.923,4.167
ETSY UW Equity,3.667,3.2,3.364,3.5,3.545,3.727,3.727,4.167,4.143,4.2,4.733,4.647
EV UN Equity,2.778,3,3.222,3.4,3.4,3.8,3.6,3.4,3.2,2.6,2.6,2.6
EVBG UQ Equity,5,5,5,5,5,5,5,5,4.692,4.692,4.833,4.833
EVBN UA Equity,5,5,4,4,5,5,4,4,5,5,4,4
EVC UN Equity,3.667,4,4,4,3,4.333,4.333,4,4,5,5,5
EVER UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.625,4.375,4.625,4.625,4.375,4.875
EVFM UR Equity,3,3,3,3,4,5,5,5,5,5,5,5
EVH UN Equity,5,5,5,5,5,4.867,4.857,4.867,4.867,4.857,4.846,4.833
EVI UA Equity,#N/A N/A,,,,,,,,,,,
EVLO UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.75,4.75,4.75,4.4,4.5,4.6,4.6
EVOP UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3.75,3.667,3.727,3.667,3.462,3.333,3.462
EVR UN Equity,3.909,3.6,3.667,3.667,3.889,4,3.5,3.75,3.444,3.778,4.125,4.222
EVRG UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.091,4.091,4.091,4.2,4.2,3.8,3.182
EVRI UN Equity,5,5,5,5,5,5,5,5,5,5,5,5
EVTC UN Equity,3,3,3.5,3.286,3,3.286,3.286,3.75,3.75,3.778,3.875,4
EW UN Equity,4.375,4.375,4.375,4.348,4.417,4.36,4.36,4,4,3.88,4.083,4
EWBC UW Equity,4.231,4.231,3.923,4.077,4.286,4.286,4.571,4.714,4.714,4.692,4.667,4.455
EXAS UR Equity,4.2,4.467,4.571,4.231,4.143,4.385,4.385,4.538,4.692,4.833,5,5
EXC UW Equity,4.12,4.13,4.429,4.1,4.4,4.4,4.273,4.048,3.857,4.091,4.238,4.3
EXEL UW Equity,4.111,4.333,4.091,4.167,4.636,4.8,4.385,4.385,4.286,4.286,4.333,4.385
EXLS UW Equity,4.385,4.5,3.923,3.923,3.769,3.923,3.923,3.923,3.769,3.667,3.5,3.5
EXP UN Equity,4,4.2,4.4,4.556,4.4,4.636,4.667,4.667,4.286,4.333,3.923,4
EXPD UW Equity,2.857,2.867,2.867,2.875,2.875,2.875,2.882,2.647,2.75,2.75,2.625,2.429
EXPE UW Equity,4.576,4.438,4.529,4.412,4.294,4.257,4.294,4.278,4.412,4.265,4.406,4.03
EXPI UQ Equity,#N/A N/A,#N/A N/A,5,5,5,5,5,5,5,5,5,5
EXPO UW Equity,3.5,3.5,3.5,3.5,4,4,4.2,4.2,4.2,4.2,4,4
EXPR UN Equity,3.077,3.091,3.111,3,3,3,3,3,3,3,3,3
EXR UN Equity,3.471,3.625,3.353,3.471,3.5,3.667,3.533,3.533,3.429,3.167,3,3.154
EXTN UN Equity,4.25,4.25,4.25,4.25,4.25,4.333,5,5,5,5,5,5
EXTR UW Equity,4.6,4.6,4.6,4.667,4.8,4.8,4,4,4,4,4.167,4.167
EYE UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,4.25,4.429,4.25,4.25,4.333,4.333,4.6,4.818,5
EYPT UQ Equity,5,5,5,5,5,5,5,5,5,5,5,4.5
EZPW UW Equity,3,3.5,4,3.667,3.667,4.333,4.333,4.333,4.333,4.5,4.5,4
F UN Equity,3.538,3.429,3.357,3.154,3.24,3.333,3.25,3.333,3.333,3.625,3.714,3.619
FAF UN Equity,3.8,3.8,3.8,3.8,4.2,4.2,4.6,4.6,4.667,4.571,4.571,4.167
FANG UW Equity,4.613,4.75,4.733,4.824,4.829,4.829,4.828,4.857,4.919,4.974,4.974,4.947
FARM UW Equity,5,5,5,5,5,5,5,5,5,3.667,3.667,3.667
FARO UW Equity,4.333,4.429,4.143,4.143,4.333,4.333,4.2,4.2,4.2,3.8,3.8,3.5
FAST UW Equity,3.118,3.737,4.111,4.111,3.889,3.706,3.706,3.526,3.5,3.316,3.471,2.882
FATE UQ Equity,5,5,5,5,4.333,4.333,4.429,4.5,4.75,4.8,4.857,4.867
FB UW Equity,4.714,4.696,4.66,4.708,4.708,4.696,4.469,4.358,4.4,4.585,4.6,4.589
FBC UN Equity,3.889,4.111,4.111,4.111,4.111,4.778,4.778,4.778,4.75,4.5,4.5,4.714
FBHS UN Equity,4,4,3.909,3.952,4.048,4.158,4.053,3.9,4.053,3.947,3.625,3.706
FBIZ UW Equity,3.4,3,3,3,3,3.4,3.8,3.8,3.8,3.8,3.4,3.4
FBK UN Equity,4.6,3.8,4.2,4.2,4,4,4,3.857,3.857,3.857,4.143,3.5
